FH,SQ,Q,FX,SIN_HOUR,COS_HOUR
3.0,0.0,40.0,5.0,0.63108796,0.63108796
3.0,0.0,66.0,4.0,0.39840108,0.39840108
3.0,0.8,168.0,4.0,0.13616665,0.13616665
3.0,1.0,171.0,4.0,-0.13616665,-0.13616665
2.0,1.0,194.0,3.0,-0.39840108,-0.39840108
2.0,1.0,174.0,3.0,-0.63108796,-0.63108796
1.0,1.0,139.0,2.0,-0.8169699,-0.8169699
1.0,1.0,76.0,2.0,-0.9422609,-0.9422609
2.0,0.8,25.0,2.0,-0.99766874,-0.99766874
3.0,0.0,1.0,3.0,-0.9790841,-0.9790841
3.0,0.0,0.0,4.0,-0.8878852,-0.8878852
4.0,0.0,0.0,5.0,-0.730836,-0.730836
4.0,0.0,0.0,6.0,-0.51958394,-0.51958394
4.0,0.0,0.0,6.0,-0.26979676,-0.26979676
3.0,0.0,0.0,4.0,-2.4492937e-16,-2.4492937e-16
3.0,0.0,0.0,4.0,0.26979676,0.26979676
3.0,0.0,0.0,5.0,0.51958394,0.51958394
3.0,0.0,0.0,4.0,0.730836,0.730836
4.0,0.0,0.0,5.0,0.8878852,0.8878852
4.0,0.0,0.0,6.0,0.9790841,0.9790841
4.0,0.0,0.0,6.0,0.99766874,0.99766874
5.0,0.0,2.0,7.0,0.9422609,0.9422609
4.0,0.0,21.0,7.0,0.8169699,0.8169699
3.0,0.0,30.0,5.0,0.63108796,0.63108796
3.0,0.0,25.0,5.0,0.39840108,0.39840108
2.0,0.0,25.0,4.0,0.13616665,0.13616665
1.0,0.0,26.0,3.0,-0.13616665,-0.13616665
2.0,0.0,16.0,3.0,-0.39840108,-0.39840108
2.0,0.0,18.0,3.0,-0.63108796,-0.63108796
2.0,0.0,13.0,3.0,-0.8169699,-0.8169699
2.0,0.0,7.0,2.0,-0.9422609,-0.9422609
2.0,0.0,7.0,3.0,-0.99766874,-0.99766874
2.0,0.0,0.0,3.0,-0.9790841,-0.9790841
2.0,0.0,0.0,3.0,-0.8878852,-0.8878852
2.0,0.0,0.0,2.0,-0.730836,-0.730836
1.0,0.0,0.0,2.0,-0.51958394,-0.51958394
1.0,0.0,0.0,1.0,-0.26979676,-0.26979676
2.0,0.0,0.0,2.0,-2.4492937e-16,-2.4492937e-16
2.0,0.0,0.0,4.0,0.26979676,0.26979676
2.0,0.0,0.0,4.0,0.51958394,0.51958394
2.0,0.0,0.0,3.0,0.730836,0.730836
2.0,0.0,0.0,3.0,0.8878852,0.8878852
2.0,0.0,0.0,4.0,0.9790841,0.9790841
2.0,0.0,0.0,4.0,0.99766874,0.99766874
2.0,0.0,4.0,3.0,0.9422609,0.9422609
2.0,0.0,20.0,4.0,0.8169699,0.8169699
2.0,0.0,27.0,4.0,0.63108796,0.63108796
2.0,0.0,67.0,4.0,0.39840108,0.39840108
2.0,1.0,175.0,4.0,0.13616665,0.13616665
3.0,0.2,75.0,3.0,-0.13616665,-0.13616665
2.0,0.3,80.0,3.0,-0.39840108,-0.39840108
3.0,0.1,58.0,4.0,-0.63108796,-0.63108796
4.0,0.0,44.0,4.0,-0.8169699,-0.8169699
4.0,0.0,25.0,6.0,-0.9422609,-0.9422609
5.0,0.2,15.0,6.0,-0.99766874,-0.99766874
5.0,0.0,3.0,7.0,-0.9790841,-0.9790841
5.0,0.0,0.0,7.0,-0.8878852,-0.8878852
5.0,0.0,0.0,7.0,-0.730836,-0.730836
4.0,0.0,0.0,7.0,-0.51958394,-0.51958394
5.0,0.0,0.0,8.0,-0.26979676,-0.26979676
5.0,0.0,0.0,6.0,-2.4492937e-16,-2.4492937e-16
4.0,0.0,0.0,7.0,0.26979676,0.26979676
5.0,0.0,0.0,6.0,0.51958394,0.51958394
4.0,0.0,0.0,6.0,0.730836,0.730836
4.0,0.0,0.0,6.0,0.8878852,0.8878852
5.0,0.0,0.0,7.0,0.9790841,0.9790841
6.0,0.0,0.0,8.0,0.99766874,0.99766874
6.0,0.0,6.0,7.0,0.9422609,0.9422609
7.0,0.8,42.0,9.0,0.8169699,0.8169699
7.0,1.0,93.0,9.0,0.63108796,0.63108796
8.0,0.9,133.0,11.0,0.39840108,0.39840108
9.0,1.0,165.0,12.0,0.13616665,0.13616665
9.0,1.0,177.0,13.0,-0.13616665,-0.13616665
8.0,0.9,156.0,11.0,-0.39840108,-0.39840108
9.0,1.0,149.0,12.0,-0.63108796,-0.63108796
10.0,1.0,132.0,14.0,-0.8169699,-0.8169699
10.0,0.3,56.0,14.0,-0.9422609,-0.9422609
10.0,0.0,12.0,14.0,-0.99766874,-0.99766874
9.0,0.0,1.0,13.0,-0.9790841,-0.9790841
10.0,0.0,0.0,14.0,-0.730836,-0.730836
9.0,0.0,0.0,12.0,-0.51958394,-0.51958394
8.0,0.0,0.0,12.0,-0.26979676,-0.26979676
8.0,0.0,0.0,11.0,-2.4492937e-16,-2.4492937e-16
7.0,0.0,0.0,9.0,0.26979676,0.26979676
7.0,0.0,0.0,9.0,0.51958394,0.51958394
7.0,0.0,0.0,10.0,0.730836,0.730836
7.0,0.0,0.0,10.0,0.8878852,0.8878852
7.0,0.0,0.0,10.0,0.9790841,0.9790841
7.0,0.0,0.0,9.0,0.99766874,0.99766874
7.0,0.3,8.0,9.0,0.9422609,0.9422609
8.0,1.0,49.0,11.0,0.8169699,0.8169699
8.0,1.0,102.0,12.0,0.63108796,0.63108796
9.0,1.0,147.0,12.0,0.39840108,0.39840108
9.0,1.0,182.0,12.0,0.13616665,0.13616665
10.0,1.0,199.0,14.0,-0.13616665,-0.13616665
11.0,1.0,196.0,15.0,-0.39840108,-0.39840108
11.0,1.0,172.0,15.0,-0.63108796,-0.63108796
11.0,1.0,136.0,15.0,-0.8169699,-0.8169699
9.0,1.0,89.0,14.0,-0.9422609,-0.9422609
10.0,1.0,38.0,14.0,-0.99766874,-0.99766874
9.0,0.0,4.0,13.0,-0.9790841,-0.9790841
9.0,0.0,0.0,14.0,-0.8878852,-0.8878852
8.0,0.0,0.0,12.0,-0.730836,-0.730836
7.0,0.0,0.0,10.0,-0.51958394,-0.51958394
7.0,0.0,0.0,10.0,-0.26979676,-0.26979676
7.0,0.0,0.0,10.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,10.0,0.26979676,0.26979676
6.0,0.0,0.0,9.0,0.51958394,0.51958394
6.0,0.0,0.0,7.0,0.730836,0.730836
6.0,0.0,0.0,9.0,0.8878852,0.8878852
6.0,0.0,0.0,8.0,0.9790841,0.9790841
7.0,0.0,0.0,9.0,0.99766874,0.99766874
7.0,0.0,6.0,10.0,0.9422609,0.9422609
7.0,0.2,34.0,9.0,0.8169699,0.8169699
6.0,0.6,86.0,8.0,0.63108796,0.63108796
7.0,0.1,78.0,10.0,0.39840108,0.39840108
7.0,1.0,184.0,9.0,0.13616665,0.13616665
8.0,1.0,199.0,10.0,-0.13616665,-0.13616665
9.0,1.0,198.0,11.0,-0.39840108,-0.39840108
9.0,1.0,166.0,12.0,-0.63108796,-0.63108796
8.0,0.9,113.0,11.0,-0.8169699,-0.8169699
8.0,1.0,64.0,12.0,-0.9422609,-0.9422609
8.0,0.2,18.0,12.0,-0.99766874,-0.99766874
8.0,0.0,1.0,11.0,-0.9790841,-0.9790841
8.0,0.0,0.0,11.0,-0.8878852,-0.8878852
8.0,0.0,0.0,11.0,-0.730836,-0.730836
8.0,0.0,0.0,11.0,-0.51958394,-0.51958394
8.0,0.0,0.0,11.0,-0.26979676,-0.26979676
8.0,0.0,0.0,11.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,10.0,0.26979676,0.26979676
9.0,0.0,0.0,11.0,0.51958394,0.51958394
9.0,0.0,0.0,13.0,0.730836,0.730836
10.0,0.0,0.0,13.0,0.8878852,0.8878852
11.0,0.0,0.0,13.0,0.9790841,0.9790841
11.0,0.0,0.0,14.0,0.99766874,0.99766874
10.0,0.0,5.0,14.0,0.9422609,0.9422609
10.0,0.0,28.0,13.0,0.8169699,0.8169699
11.0,0.0,43.0,14.0,0.63108796,0.63108796
11.0,0.0,57.0,15.0,0.39840108,0.39840108
12.0,0.0,75.0,16.0,0.13616665,0.13616665
12.0,0.0,58.0,16.0,-0.13616665,-0.13616665
11.0,0.0,56.0,14.0,-0.39840108,-0.39840108
12.0,0.0,74.0,16.0,-0.63108796,-0.63108796
12.0,0.3,72.0,16.0,-0.8169699,-0.8169699
11.0,0.3,58.0,16.0,-0.9422609,-0.9422609
11.0,0.3,21.0,15.0,-0.99766874,-0.99766874
8.0,0.0,3.0,13.0,-0.9790841,-0.9790841
6.0,0.0,0.0,9.0,-0.8878852,-0.8878852
6.0,0.0,0.0,8.0,-0.730836,-0.730836
7.0,0.0,0.0,10.0,-0.51958394,-0.51958394
6.0,0.0,0.0,9.0,-0.26979676,-0.26979676
6.0,0.0,0.0,8.0,-2.4492937e-16,-2.4492937e-16
7.0,0.0,0.0,10.0,0.26979676,0.26979676
6.0,0.0,0.0,8.0,0.51958394,0.51958394
7.0,0.0,0.0,9.0,0.730836,0.730836
8.0,0.0,0.0,10.0,0.8878852,0.8878852
7.0,0.0,0.0,8.0,0.9790841,0.9790841
6.0,0.0,0.0,9.0,0.99766874,0.99766874
7.0,0.0,3.0,9.0,0.9422609,0.9422609
5.0,0.0,12.0,6.0,0.8169699,0.8169699
4.0,0.0,19.0,6.0,0.63108796,0.63108796
4.0,0.0,41.0,5.0,0.39840108,0.39840108
4.0,0.0,36.0,6.0,0.13616665,0.13616665
4.0,0.0,41.0,5.0,-0.13616665,-0.13616665
4.0,0.0,55.0,5.0,-0.39840108,-0.39840108
4.0,0.0,24.0,6.0,-0.63108796,-0.63108796
4.0,0.0,23.0,5.0,-0.8169699,-0.8169699
4.0,0.0,11.0,5.0,-0.9422609,-0.9422609
4.0,0.0,4.0,5.0,-0.99766874,-0.99766874
4.0,0.0,0.0,5.0,-0.9790841,-0.9790841
5.0,0.0,0.0,6.0,-0.8878852,-0.8878852
5.0,0.0,0.0,6.0,-0.730836,-0.730836
4.0,0.0,0.0,6.0,-0.51958394,-0.51958394
5.0,0.0,0.0,7.0,-0.26979676,-0.26979676
4.0,0.0,0.0,5.0,-2.4492937e-16,-2.4492937e-16
5.0,0.0,0.0,7.0,0.26979676,0.26979676
5.0,0.0,0.0,7.0,0.51958394,0.51958394
6.0,0.0,0.0,8.0,0.730836,0.730836
7.0,0.0,0.0,9.0,0.8878852,0.8878852
7.0,0.0,0.0,9.0,0.9790841,0.9790841
8.0,0.0,0.0,10.0,0.99766874,0.99766874
7.0,0.0,1.0,9.0,0.9422609,0.9422609
7.0,0.0,5.0,8.0,0.8169699,0.8169699
6.0,0.0,12.0,7.0,0.63108796,0.63108796
6.0,0.0,13.0,8.0,0.39840108,0.39840108
6.0,0.0,45.0,8.0,0.13616665,0.13616665
6.0,0.8,164.0,8.0,-0.13616665,-0.13616665
6.0,0.7,164.0,8.0,-0.39840108,-0.39840108
5.0,0.7,133.0,6.0,-0.63108796,-0.63108796
5.0,0.2,78.0,7.0,-0.8169699,-0.8169699
6.0,0.0,11.0,8.0,-0.9422609,-0.9422609
6.0,0.2,7.0,9.0,-0.99766874,-0.99766874
5.0,0.0,2.0,7.0,-0.9790841,-0.9790841
5.0,0.0,0.0,8.0,-0.8878852,-0.8878852
6.0,0.0,0.0,9.0,-0.730836,-0.730836
6.0,0.0,0.0,9.0,-0.51958394,-0.51958394
6.0,0.0,0.0,8.0,-0.26979676,-0.26979676
5.0,0.0,0.0,8.0,-2.4492937e-16,-2.4492937e-16
6.0,0.0,0.0,8.0,0.26979676,0.26979676
6.0,0.0,0.0,7.0,0.51958394,0.51958394
7.0,0.0,0.0,10.0,0.730836,0.730836
7.0,0.0,0.0,9.0,0.8878852,0.8878852
7.0,0.0,0.0,9.0,0.9790841,0.9790841
8.0,0.0,0.0,9.0,0.99766874,0.99766874
8.0,0.0,3.0,10.0,0.9422609,0.9422609
9.0,0.0,14.0,11.0,0.8169699,0.8169699
8.0,0.1,49.0,10.0,0.63108796,0.63108796
8.0,0.0,62.0,10.0,0.39840108,0.39840108
8.0,0.0,70.0,10.0,0.13616665,0.13616665
9.0,0.0,91.0,11.0,-0.13616665,-0.13616665
10.0,0.0,55.0,11.0,-0.39840108,-0.39840108
11.0,0.0,53.0,13.0,-0.63108796,-0.63108796
10.0,0.0,42.0,13.0,-0.8169699,-0.8169699
12.0,0.2,40.0,14.0,-0.9422609,-0.9422609
11.0,0.0,10.0,14.0,-0.99766874,-0.99766874
11.0,0.0,1.0,14.0,-0.9790841,-0.9790841
12.0,0.0,0.0,15.0,-0.8878852,-0.8878852
11.0,0.0,0.0,13.0,-0.730836,-0.730836
10.0,0.0,0.0,13.0,-0.51958394,-0.51958394
9.0,0.0,0.0,11.0,-0.26979676,-0.26979676
9.0,0.0,0.0,10.0,-2.4492937e-16,-2.4492937e-16
6.0,0.0,0.0,8.0,0.26979676,0.26979676
8.0,0.0,0.0,10.0,0.51958394,0.51958394
9.0,0.0,0.0,11.0,0.730836,0.730836
9.0,0.0,0.0,11.0,0.8878852,0.8878852
9.0,0.0,0.0,10.0,0.9790841,0.9790841
8.0,0.0,0.0,10.0,0.99766874,0.99766874
7.0,0.2,12.0,9.0,0.9422609,0.9422609
8.0,1.0,62.0,10.0,0.8169699,0.8169699
8.0,1.0,118.0,10.0,0.63108796,0.63108796
7.0,1.0,164.0,10.0,0.39840108,0.39840108
6.0,1.0,198.0,7.0,0.13616665,0.13616665
5.0,1.0,208.0,7.0,-0.13616665,-0.13616665
6.0,1.0,203.0,8.0,-0.39840108,-0.39840108
7.0,0.9,169.0,9.0,-0.63108796,-0.63108796
5.0,0.7,99.0,8.0,-0.8169699,-0.8169699
4.0,0.5,62.0,6.0,-0.9422609,-0.9422609
6.0,0.5,26.0,7.0,-0.99766874,-0.99766874
6.0,0.0,5.0,9.0,-0.9790841,-0.9790841
4.0,0.0,0.0,8.0,-0.8878852,-0.8878852
6.0,0.0,0.0,8.0,-0.730836,-0.730836
7.0,0.0,0.0,9.0,-0.51958394,-0.51958394
8.0,0.0,0.0,9.0,-0.26979676,-0.26979676
7.0,0.0,0.0,9.0,-2.4492937e-16,-2.4492937e-16
9.0,0.0,0.0,11.0,0.26979676,0.26979676
10.0,0.0,0.0,12.0,0.51958394,0.51958394
10.0,0.0,0.0,12.0,0.730836,0.730836
11.0,0.0,0.0,13.0,0.8878852,0.8878852
11.0,0.0,0.0,13.0,0.9790841,0.9790841
11.0,0.0,0.0,14.0,0.99766874,0.99766874
13.0,0.0,10.0,16.0,0.9422609,0.9422609
12.0,0.1,39.0,15.0,0.8169699,0.8169699
13.0,0.6,94.0,15.0,0.63108796,0.63108796
13.0,0.5,106.0,16.0,0.39840108,0.39840108
13.0,0.4,116.0,17.0,0.13616665,0.13616665
13.0,0.4,143.0,17.0,-0.13616665,-0.13616665
13.0,0.3,115.0,16.0,-0.39840108,-0.39840108
12.0,0.8,156.0,16.0,-0.63108796,-0.63108796
12.0,0.9,126.0,14.0,-0.8169699,-0.8169699
11.0,0.9,85.0,13.0,-0.9422609,-0.9422609
11.0,1.0,51.0,13.0,-0.99766874,-0.99766874
12.0,0.2,8.0,14.0,-0.9790841,-0.9790841
12.0,0.0,0.0,14.0,-0.8878852,-0.8878852
12.0,0.0,0.0,14.0,-0.730836,-0.730836
11.0,0.0,0.0,13.0,-0.51958394,-0.51958394
11.0,0.0,0.0,13.0,-0.26979676,-0.26979676
10.0,0.0,0.0,12.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,11.0,0.26979676,0.26979676
8.0,0.0,0.0,11.0,0.51958394,0.51958394
8.0,0.0,0.0,11.0,0.730836,0.730836
8.0,0.0,0.0,11.0,0.8878852,0.8878852
9.0,0.0,0.0,11.0,0.9790841,0.9790841
7.0,0.0,0.0,11.0,0.99766874,0.99766874
8.0,0.0,5.0,12.0,0.9422609,0.9422609
8.0,0.0,17.0,11.0,0.8169699,0.8169699
7.0,0.0,38.0,10.0,0.63108796,0.63108796
7.0,0.0,65.0,9.0,0.39840108,0.39840108
6.0,0.0,91.0,9.0,0.13616665,0.13616665
6.0,0.5,147.0,9.0,-0.13616665,-0.13616665
5.0,0.3,130.0,8.0,-0.39840108,-0.39840108
5.0,0.8,142.0,7.0,-0.63108796,-0.63108796
5.0,0.4,94.0,7.0,-0.8169699,-0.8169699
4.0,0.8,88.0,5.0,-0.9422609,-0.9422609
3.0,1.0,41.0,6.0,-0.99766874,-0.99766874
2.0,0.0,5.0,4.0,-0.9790841,-0.9790841
2.0,0.0,0.0,2.0,-0.8878852,-0.8878852
2.0,0.0,0.0,2.0,-0.730836,-0.730836
2.0,0.0,0.0,3.0,-0.51958394,-0.51958394
4.0,0.0,0.0,4.0,-0.26979676,-0.26979676
3.0,0.0,0.0,4.0,-2.4492937e-16,-2.4492937e-16
4.0,0.0,0.0,6.0,0.26979676,0.26979676
4.0,0.0,0.0,6.0,0.51958394,0.51958394
4.0,0.0,0.0,6.0,0.730836,0.730836
4.0,0.0,0.0,7.0,0.8878852,0.8878852
4.0,0.0,0.0,8.0,0.9790841,0.9790841
4.0,0.0,0.0,7.0,0.99766874,0.99766874
4.0,0.0,8.0,8.0,0.9422609,0.9422609
4.0,0.0,24.0,6.0,0.8169699,0.8169699
5.0,0.0,43.0,7.0,0.63108796,0.63108796
4.0,0.1,96.0,8.0,0.39840108,0.39840108
5.0,0.0,78.0,8.0,0.13616665,0.13616665
5.0,0.0,81.0,8.0,-0.13616665,-0.13616665
5.0,0.0,46.0,9.0,-0.39840108,-0.39840108
5.0,0.0,69.0,10.0,-0.63108796,-0.63108796
6.0,0.2,75.0,10.0,-0.8169699,-0.8169699
7.0,0.0,36.0,10.0,-0.9422609,-0.9422609
5.0,0.0,5.0,8.0,-0.99766874,-0.99766874
5.0,0.0,4.0,8.0,-0.9790841,-0.9790841
6.0,0.0,0.0,10.0,-0.8878852,-0.8878852
7.0,0.0,0.0,11.0,-0.730836,-0.730836
7.0,0.0,0.0,11.0,-0.51958394,-0.51958394
6.0,0.0,0.0,10.0,-0.26979676,-0.26979676
6.0,0.0,0.0,8.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,10.0,0.26979676,0.26979676
5.0,0.0,0.0,8.0,0.51958394,0.51958394
4.0,0.0,0.0,6.0,0.730836,0.730836
3.0,0.0,0.0,5.0,0.8878852,0.8878852
5.0,0.0,0.0,6.0,0.9790841,0.9790841
5.0,0.0,0.0,6.0,0.99766874,0.99766874
4.0,0.0,7.0,5.0,0.9422609,0.9422609
5.0,0.0,33.0,6.0,0.8169699,0.8169699
5.0,0.4,89.0,6.0,0.63108796,0.63108796
5.0,0.2,99.0,6.0,0.39840108,0.39840108
4.0,0.7,174.0,6.0,0.13616665,0.13616665
4.0,1.0,221.0,6.0,-0.13616665,-0.13616665
4.0,1.0,220.0,5.0,-0.39840108,-0.39840108
4.0,1.0,200.0,5.0,-0.63108796,-0.63108796
4.0,0.9,153.0,5.0,-0.8169699,-0.8169699
4.0,1.0,114.0,6.0,-0.9422609,-0.9422609
5.0,0.3,32.0,8.0,-0.99766874,-0.99766874
5.0,0.0,3.0,8.0,-0.9790841,-0.9790841
4.0,0.0,0.0,6.0,-0.8878852,-0.8878852
3.0,0.0,0.0,5.0,-0.730836,-0.730836
4.0,0.0,0.0,5.0,-0.51958394,-0.51958394
4.0,0.0,0.0,5.0,-0.26979676,-0.26979676
5.0,0.0,0.0,7.0,-2.4492937e-16,-2.4492937e-16
6.0,0.0,0.0,8.0,0.26979676,0.26979676
6.0,0.0,0.0,8.0,0.51958394,0.51958394
6.0,0.0,0.0,8.0,0.730836,0.730836
6.0,0.0,0.0,7.0,0.8878852,0.8878852
7.0,0.0,0.0,8.0,0.9790841,0.9790841
7.0,0.0,0.0,8.0,0.99766874,0.99766874
6.0,0.0,12.0,8.0,0.9422609,0.9422609
6.0,0.0,19.0,7.0,0.8169699,0.8169699
6.0,0.0,30.0,8.0,0.63108796,0.63108796
7.0,0.0,79.0,9.0,0.39840108,0.39840108
7.0,0.4,149.0,9.0,0.13616665,0.13616665
7.0,1.0,223.0,9.0,-0.13616665,-0.13616665
8.0,0.4,165.0,10.0,-0.39840108,-0.39840108
7.0,0.7,163.0,9.0,-0.63108796,-0.63108796
6.0,1.0,152.0,8.0,-0.8169699,-0.8169699
5.0,0.7,89.0,7.0,-0.9422609,-0.9422609
5.0,0.2,28.0,6.0,-0.99766874,-0.99766874
4.0,0.2,6.0,6.0,-0.9790841,-0.9790841
4.0,0.0,0.0,6.0,-0.8878852,-0.8878852
4.0,0.0,0.0,5.0,-0.730836,-0.730836
5.0,0.0,0.0,6.0,-0.51958394,-0.51958394
4.0,0.0,0.0,5.0,-0.26979676,-0.26979676
4.0,0.0,0.0,5.0,-2.4492937e-16,-2.4492937e-16
4.0,0.0,0.0,5.0,0.26979676,0.26979676
4.0,0.0,0.0,4.0,0.51958394,0.51958394
4.0,0.0,0.0,5.0,0.730836,0.730836
4.0,0.0,0.0,5.0,0.8878852,0.8878852
4.0,0.0,0.0,5.0,0.9790841,0.9790841
2.0,0.0,0.0,3.0,0.99766874,0.99766874
3.0,0.0,14.0,4.0,0.9422609,0.9422609
3.0,0.0,42.0,4.0,0.8169699,0.8169699
4.0,0.3,57.0,5.0,0.63108796,0.63108796
4.0,0.0,55.0,6.0,0.39840108,0.39840108
4.0,0.0,86.0,5.0,0.13616665,0.13616665
4.0,0.0,114.0,5.0,-0.13616665,-0.13616665
3.0,0.1,124.0,4.0,-0.39840108,-0.39840108
3.0,0.0,90.0,4.0,-0.63108796,-0.63108796
2.0,0.0,56.0,3.0,-0.8169699,-0.8169699
2.0,0.7,67.0,4.0,-0.9422609,-0.9422609
2.0,0.2,19.0,3.0,-0.99766874,-0.99766874
2.0,0.2,5.0,3.0,-0.9790841,-0.9790841
2.0,0.0,0.0,3.0,-0.8878852,-0.8878852
1.0,0.0,0.0,2.0,-0.730836,-0.730836
2.0,0.0,0.0,3.0,-0.51958394,-0.51958394
2.0,0.0,0.0,3.0,-0.26979676,-0.26979676
3.0,0.0,0.0,4.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,10.0,0.26979676,0.26979676
7.0,0.0,0.0,9.0,0.51958394,0.51958394
7.0,0.0,0.0,10.0,0.730836,0.730836
8.0,0.0,0.0,11.0,0.8878852,0.8878852
9.0,0.0,0.0,11.0,0.9790841,0.9790841
8.0,0.0,1.0,10.0,0.99766874,0.99766874
5.0,0.0,10.0,10.0,0.9422609,0.9422609
3.0,0.0,30.0,6.0,0.8169699,0.8169699
2.0,0.0,44.0,5.0,0.63108796,0.63108796
3.0,0.0,55.0,6.0,0.39840108,0.39840108
4.0,0.0,74.0,6.0,0.13616665,0.13616665
5.0,0.0,61.0,7.0,-0.13616665,-0.13616665
5.0,0.0,65.0,7.0,-0.39840108,-0.39840108
6.0,0.0,49.0,9.0,-0.63108796,-0.63108796
7.0,0.0,44.0,9.0,-0.8169699,-0.8169699
8.0,0.0,48.0,11.0,-0.9422609,-0.9422609
9.0,0.5,32.0,12.0,-0.99766874,-0.99766874
9.0,0.3,12.0,11.0,-0.9790841,-0.9790841
8.0,0.0,0.0,10.0,-0.8878852,-0.8878852
8.0,0.0,0.0,10.0,-0.730836,-0.730836
8.0,0.0,0.0,9.0,-0.51958394,-0.51958394
9.0,0.0,0.0,11.0,-0.26979676,-0.26979676
9.0,0.0,0.0,12.0,-2.4492937e-16,-2.4492937e-16
10.0,0.0,0.0,12.0,0.26979676,0.26979676
10.0,0.0,0.0,12.0,0.51958394,0.51958394
10.0,0.0,0.0,12.0,0.730836,0.730836
10.0,0.0,0.0,12.0,0.8878852,0.8878852
10.0,0.0,0.0,12.0,0.9790841,0.9790841
11.0,0.0,0.0,13.0,0.99766874,0.99766874
10.0,0.0,4.0,12.0,0.9422609,0.9422609
10.0,0.0,11.0,13.0,0.8169699,0.8169699
9.0,0.0,11.0,11.0,0.63108796,0.63108796
9.0,0.0,27.0,11.0,0.39840108,0.39840108
9.0,0.0,30.0,12.0,0.13616665,0.13616665
8.0,0.0,38.0,11.0,-0.13616665,-0.13616665
7.0,0.0,48.0,9.0,-0.39840108,-0.39840108
6.0,0.0,67.0,9.0,-0.63108796,-0.63108796
7.0,0.0,50.0,9.0,-0.8169699,-0.8169699
6.0,0.0,32.0,8.0,-0.9422609,-0.9422609
6.0,0.0,16.0,8.0,-0.99766874,-0.99766874
5.0,0.0,3.0,7.0,-0.9790841,-0.9790841
4.0,0.0,0.0,6.0,-0.8878852,-0.8878852
3.0,0.0,0.0,5.0,-0.730836,-0.730836
3.0,0.0,0.0,4.0,-0.51958394,-0.51958394
4.0,0.0,0.0,6.0,-0.26979676,-0.26979676
9.0,0.0,0.0,12.0,0.51958394,0.51958394
9.0,0.0,0.0,11.0,0.730836,0.730836
11.0,0.0,0.0,14.0,0.8878852,0.8878852
12.0,0.0,0.0,14.0,0.9790841,0.9790841
12.0,0.0,1.0,15.0,0.99766874,0.99766874
12.0,0.2,21.0,15.0,0.9422609,0.9422609
12.0,0.8,77.0,15.0,0.8169699,0.8169699
13.0,0.7,81.0,16.0,0.63108796,0.63108796
13.0,0.7,120.0,19.0,0.39840108,0.39840108
